_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
30135,2020,July-Sept,1055035,6049473,329148,Black,F,Aged 18 to 24 years,Not a youth,53,1,1,Robbery & Theft,,,1,,,,0,0,1,0,0,30135
30136,2020,July-Sept,1055035,,329148,Black,F,Aged 18 to 24 years,Not a youth,XX,1,,Robbery & Theft,,,,,,,0,0,1,0,0,30136
30137,2020,Apr-June,1025144,6006773,311880,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,51,1,1,Assault & Other crimes against persons,,,,,,,1,0,1,1,1,30137
30138,2021,July-Sept,1051436,6050449,311880,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,30138
30139,2021,Oct-Dec,1030349,6052860,307023,White,M,Aged 25 to 34 years,Not a youth,XX,,,Impaired,,,,,,1,None,None,None,None,None,30139
30140,2020,Apr-June,1019270,6017286,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Break & Enter,,,,,,1,None,None,None,None,None,30140
30141,2020,Apr-June,1047962,6034408,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Drug Related,,,,,,1,None,None,None,None,None,30141
30142,2020,July-Sept,1022977,6015336,317786,Latino,M,Aged 18 to 24 years,Not a youth,11,,,Robbery & Theft,,,,,,1,None,None,None,None,None,30142
30143,2020,July-Sept,1028545,6025064,317786,Latino,M,Aged 18 to 24 years,Not a youth,13,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,30143
30144,2020,July-Sept,1013127,6054430,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,30144
30145,2020,Oct-Dec,1054661,6033108,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Robbery & Theft,,,,,,1,None,None,None,None,None,30145
30146,2020,Oct-Dec,1018335,6061337,317786,Latino,M,Aged 18 to 24 years,Not a youth,11,,1,Break & Enter,,,,,,1,None,None,None,None,None,30146
30147,2020,Oct-Dec,1031284,6026783,317786,White,M,Aged 18 to 24 years,Not a youth,XX,,,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,30147
30148,2020,Oct-Dec,1048206,6054306,317786,Middle-Eastern,M,Aged 18 to 24 years,Not a youth,13,,1,Break & Enter,,,,,,1,None,None,None,None,None,30148
30149,2020,Oct-Dec,1056328,6004209,317786,Middle-Eastern,M,Aged 18 to 24 years,Not a youth,XX,,,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,30149
30150,2020,Oct-Dec,1009967,6058369,317786,White,M,Aged 18 to 24 years,Not a youth,XX,,,Other Offence,,,,,,1,None,None,None,None,None,30150
30151,2020,Oct-Dec,1018583,6057568,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Robbery & Theft,,,,,,,None,None,None,None,None,30151
30152,2020,Oct-Dec,1029447,6049790,317786,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Break & Enter,,,,,,,None,None,None,None,None,30152
30153,2020,Oct-Dec,1009500,6023235,317786,Latino,M,Aged 18 to 24 years,Not a youth,11,,1,Other Offence,,,,,,1,None,None,None,None,None,30153
30154,2020,Oct-Dec,1052189,6016500,317786,Latino,M,Aged 18 to 24 years,Not a youth,22,,,Break & Enter,,,,,,,None,None,None,None,None,30154
30155,2021,Jan-Mar,1048749,6041010,317786,Unknown or Legacy,M,Aged 18 to 24 years,Not a youth,XX,,,Robbery/Theft,,,,,,,None,None,None,None,None,30155
30156,2021,Jan-Mar,1032112,6005091,317786,Unknown or Legacy,M,Aged 18 to 24 years,Not a youth,11,1,1,Drug Related,,,,,,,1,0,0,1,0,30156
